time	V(vdrain)	V(vdrain_totem)	V(vgate)	V(vgate_totem)	Id(Mosfet)	Id(Mosfet_totem)
3.181266241093921e-07	7.996882e-03	5.133268e-04	4.712562e+00	1.146042e+01	5.449666e-02	5.454312e-02
3.243496222393477e-07	6.772481e-03	5.132802e-04	4.809929e+00	1.146079e+01	5.450132e-02	5.454312e-02
3.316752369444834e-07	5.747067e-03	5.132254e-04	4.923073e+00	1.146122e+01	5.450405e-02	5.454312e-02
3.403515309033168e-07	4.883899e-03	5.131703e-04	5.054916e+00	1.146171e+01	5.450536e-02	5.454312e-02
3.506984209482009e-07	4.151610e-03	5.131078e-04	5.209054e+00	1.146228e+01	5.450573e-02	5.454312e-02
3.627918702199050e-07	3.543355e-03	5.130449e-04	5.384912e+00	1.146292e+01	5.450506e-02	5.454312e-02
3.775394000235120e-07	3.016287e-03	5.129738e-04	5.593270e+00	1.146367e+01	5.450337e-02	5.454312e-02
3.944732507909036e-07	2.584580e-03	5.129020e-04	5.824532e+00	1.146449e+01	5.450258e-02	5.454312e-02
4.140045007909036e-07	2.225463e-03	5.128261e-04	6.081282e+00	1.146541e+01	5.450575e-02	5.454312e-02
4.335357507909036e-07	1.959880e-03	5.127569e-04	6.327745e+00	1.146628e+01	5.451388e-02	5.454312e-02
4.530670007909036e-07	1.757896e-03	5.126927e-04	6.563974e+00	1.146713e+01	5.452269e-02	5.454313e-02
4.725982507909036e-07	1.599070e-03	5.126327e-04	6.790383e+00	1.146794e+01	5.452859e-02	5.454313e-02
4.921295007909037e-07	1.470949e-03	5.125760e-04	7.007375e+00	1.146873e+01	5.453223e-02	5.454312e-02
5.116607507909037e-07	1.365479e-03	5.125222e-04	7.215338e+00	1.146949e+01	5.453463e-02	5.454312e-02
5.311920007909038e-07	1.277199e-03	5.124708e-04	7.414645e+00	1.147023e+01	5.453629e-02	5.454312e-02
5.507232507909038e-07	1.202278e-03	5.124216e-04	7.605655e+00	1.147094e+01	5.453749e-02	5.454312e-02
5.702545007909039e-07	1.137945e-03	5.123744e-04	7.788713e+00	1.147164e+01	5.453838e-02	5.454312e-02
5.897857507909039e-07	1.082148e-03	5.123290e-04	7.964148e+00	1.147231e+01	5.453907e-02	5.454312e-02
6.093170007909040e-07	1.033333e-03	5.122853e-04	8.132277e+00	1.147297e+01	5.453961e-02	5.454312e-02
6.288482507909040e-07	9.903006e-04	5.122432e-04	8.293404e+00	1.147361e+01	5.454004e-02	5.454313e-02
6.483795007909041e-07	9.521130e-04	5.122024e-04	8.447819e+00	1.147424e+01	5.454040e-02	5.454313e-02
6.679107507909041e-07	9.180241e-04	5.121631e-04	8.595803e+00	1.147485e+01	5.454069e-02	5.454313e-02
